doc_id,sentence_id,text,n_chars,prediction,source
3d3cee98-b237-4cd0-8f7a-ddedd63299a9,3e3b9ca0-d242-466a-8dd5-fadfd7abcc31,"A woman who lives in our house. She is employed. She does her work diligently and has no health issues. One day while she was bafing, she felt her breast and noticed something like a small heart lump inside it. Initially, she thought it was nothing serious, but she felt it again on another day and realized it was still there. As time went on, She became very anxious. She began to worry about whether this issue was developing within her breasts. It wasn't painful, but the fact that the lump was hard and wouldn't go away made her sad. She also started remembering stories she used to hear about girls who had lumps in their breasts. After a few weeks, she decided to go see a doctor. She wanted to know what caused her to be. the lump and what he needed to do to safeguard her health. My questions are, what can cause a hard lump in a woman ⁇ s breasts? Does every breast lump mean that something that could lead to cancer? What other symptoms should women look out for regarding their breasts?",998,"# Understanding Breast Lumps

**What can cause a hard lump in a woman's breast?**
Breast lumps have several possible causes:
- **Fibroadenoma** – a common, non-cancerous solid lump, especially in younger women
- **Breast cysts** – fluid-filled sacs that may feel firm
- **Fibrocystic changes** – lumpy areas that often change with the menstrual cycle
- **Infections/abscesses** – seen with breastfeeding or trauma
- **Cancer** – a hard, painless, fixed lump can be a warning sign

**Does every breast lump mean cancer?**
No. Most breast lumps are **benign (not cancer)**, particularly in younger women. However, because we cannot tell by feeling alone, **every persistent lump must be examined by a doctor** and investigated with tests like ultrasound, mammogram, or a biopsy to be certain.

**Warning symptoms every woman should watch for:**
- A hard, painless lump that does not go away
- Change in breast size or shape
- Nipple discharge, especially bloody
- Nipple pulling inward (retraction)
- Skin dimpling or an ""orange-peel"" appearance
- Lumps in the armpit
- Persistent redness, ulcers, or non-healing sores

**Advice for this woman:** She did the right thing by seeing a doctor. She should not delay further testing, as **early detection greatly improves treatment success**. I also encourage all women to perform monthly breast self-examinations and seek care promptly for any changes.",text__sahara-claude-opus-4-8
765b06e9-4314-4cd5-9b0d-f966ccb8f16d,36b89ae1-c49b-421e-aee0-92d33762fd44,"Good evening. I came because of my younger sibling. I noticed that their eyes and skin have an airy, a pale yellowish color and this has been going on for about three days now. Their body is also very hot, burning with a fever, and they cannot eat. They cannot retain anything. They cannot retain. Than anything, in fact, they are shivering and waking every day because their head is throbbing, their head is aching and their body is burning hot. We have tried using some things at home, we gave them, but even so there is absolutely no difference in their condition. Their eyes and skin that have that pale or yellowish color is hasn't stopped. That yellow colour is just increasing day by day and they're not at peace, they're not comfortable, they are suffering. God forbid, they are really suffering. That is why I came to the hospital so that we can know what to do. The steps we need to take so that my younger siblings body, their skin and eyes that are turning yellow will stop and they will recover.",1008,"Good evening. Thank you for bringing your sibling in—these symptoms are serious and you did the right thing coming to the hospital.

The yellowing of the eyes and skin (jaundice) combined with high fever, chills, vomiting, and inability to keep food down strongly suggests a serious infection affecting the liver or blood. In our setting, the most likely causes are **severe malaria** (which can cause jaundice and is very common and dangerous), **hepatitis (especially viral hepatitis A, B, or E)**, or possibly **typhoid fever** or a bacterial blood infection.

We must act quickly. Your sibling needs to be seen **immediately**, where we will do urgent tests: a **malaria test (rapid test or blood film)**, **liver function tests**, a **full blood count**, and screening for **hepatitis**. Because they cannot eat or keep fluids down, they are likely dehydrated and may need **admission for IV fluids and treatment**, and if it is severe malaria, we will start **injectable artesunate** without delay, as this condition can become life-threatening.

Please do not give any more home remedies or unprescribed drugs, as some medications can worsen liver damage—let us get them examined and started on proper treatment right now.",text__sahara-claude-opus-4-8
a8bc8d5e-e18b-4176-bd59-589224c0009b,0e3095c2-5abc-4286-8d2e-3c2f926f39e6,"A 33-year-old pregnant woman, who is 7 months pregnant, was brought to our hospital by her neighbors. They explained that she suddenly developed severe abdominal pain and a large amount of blood began to come out from her vagina. Her body was shaking and she was crying because the pain was intense. Her family said they were afraid that Something serious might happen to both the mother and the baby. Their first question for the doctor was, What could be causing this severe abdominal pain and hefy bleeding? Their second question was, What should be done immediately for this pregnant woman? Their third question was, What investigations or tests can be carried out? Their fourth question was, What treatment is appropriate for her condition? Their fifth question was what foods should this pregnant woman avoid and what hygiene measures should she observe?",860,"# Emergency Assessment: Third-Trimester Bleeding with Severe Abdominal Pain

**1. What could be causing this severe abdominal pain and heavy bleeding?**
The most likely cause is **placental abruption (abruptio placentae)** — premature separation of the placenta from the uterine wall, which classically presents with painful vaginal bleeding, a tender/rigid uterus, and possible shock. Other possibilities include placenta praevia (usually painless) or uterine rupture. This is a life-threatening obstetric emergency for both mother and baby.

**2. What should be done immediately?**
Resuscitate urgently: secure two large-bore IV lines, start IV fluids (normal saline/Ringer's lactate), give oxygen, keep her warm, catheterize to monitor urine output, and cross-match blood for transfusion. Do **NOT** perform a vaginal (digital) examination until placenta praevia is excluded. Call the obstetric and anaesthetic team immediately.

**3. What investigations can be carried out?**
Full blood count, blood group and cross-match, clotting profile (PT/PTT, fibrinogen — to detect DIC), urea/electrolytes, and an **ultrasound scan** to assess the placenta and fetal viability. Continuous monitoring of maternal vitals and fetal heart rate.

**4. What treatment is appropriate?**
Treatment depends on severity and fetal status: blood transfusion to correct shock and anaemia, and **urgent delivery** — usually by **emergency caesarean section** if the mother or baby is unstable. Give steroids (dexamethasone) for fetal lung maturity if time permits, treat any coagulopathy, and administer anti-D if she is Rhesus-negative.

**5. Foods to avoid and hygiene measures:**
After stabilization, she should avoid alcohol, tobacco, and raw/unhygienic foods; encourage iron-rich foods (green vegetables, liver, beans) and iron/folate supplements to correct anaemia. She should maintain good perineal hygiene, use clean sanitary pads, wash hands regularly, and attend all antenatal follow-up visits to prevent infection and monitor recovery.",text__sahara-claude-opus-4-8
4f88702e-973b-4918-90bc-3052fbbbc67f,ef9140fe-7a4a-4a06-af80-4455cc0ee4ac,"My family members child was bitten by a dog. He is a 7 year old child. When the dog bitten, they usually went to their traditional healer. They made an incision on the wound and applied aquarium to it. But now, the place where the dog bitten has started producing pus and it is swollen. We explained to them that they should Take him to the hospital. Please, what kind of examination can be done for this boy? Can he have rabies because of the dog? Even if the dog itself seems to be fine. And what kind of treatment does this young boy need? Consider that the dog did not cause any further injury to his body.",610,"This child needs urgent hospital care for two serious concerns: **wound infection** and **rabies risk**.

**Examination/Assessment:** The doctor will examine the wound for infection (redness, swelling, pus, warmth), check for fever and enlarged lymph nodes, and assess the depth and severity of the bite. Wound swab/culture may be taken to guide antibiotic choice, and tetanus vaccination status should be reviewed. The traditional incision and unsterile applications have increased the infection risk significantly.

**Rabies:** Yes, he can still get rabies. Rabies is nearly 100% fatal once symptoms appear, so a ""healthy-looking"" dog is NOT enough reassurance—the dog must be observed for 10 days, and if it dies, disappears, or shows signs of illness, rabies is likely. In Nigeria, where rabies is endemic and stray/unvaccinated dogs are common, we treat bites as high-risk.

**Treatment:** He needs (1) thorough wound cleaning with soap and running water plus antiseptic and drainage of pus, (2) antibiotics (e.g., amoxicillin-clavulanate) for the infection, (3) tetanus prophylaxis, and (4) post-exposure rabies prophylaxis—rabies vaccine series and, ideally, rabies immunoglobulin infiltrated around the wound if available. Please take him to hospital **today**, as rabies prophylaxis is most effective when started early and is already delayed.",text__sahara-claude-opus-4-8
b41993cb-1b4f-4e3b-8e8b-2eb6e2ef132e,74ad3a52-5cc9-4439-b3b5-095e4da6fe66,"This woman gave birth at our hospital here about 6 months ago. She came to our hospital with her husband where she gave birth to her child. The 6 month told Gear that they have blotted. The mother explained further that it has been about 13 to 14 days since she noticed that this child started coughing. The mother also mentioned that she had been treating this child for cataract. Earlier before the cough started. She said the cough has become more severe since yesterday. The cough became very severe although it had initially started about three days ago. She said that whenever she breastfeeds the child, she also gives her the liquid medicine that is in this bottle, the one suit for coughs, which she has been administering and the baby has been taking. She then said that since yesterday, the cough has become so severe that the child is finding it very very very difficult to breathe, which has really worried me. It is as if her breathing is fluctuating, going up and down every few seconds. They were frightened, which is why they brought her to the hospital. Now the question is, can we give this mother something to help the child at home, given that her breathing is fluctuating with that cough? Should we prescribe cough medicine for her or should we have the child examined before prescribing any medicine or giving her an injection?",1349,"This child should NOT be sent home with cough medicine—she needs immediate examination and admission. A 6-month-old with severe cough, difficulty breathing, and fluctuating (irregular) breathing patterns shows danger signs of severe pneumonia or respiratory distress, which can be rapidly fatal. Do not give any injection or medicine before examining the child—assess respiratory rate, check for chest indrawing, cyanosis, oxygen saturation, and listen to the chest, following IMCI guidelines. Fast or difficult breathing with these danger signs classifies as severe pneumonia requiring hospital care, oxygen, and injectable antibiotics (e.g., ampicillin plus gentamicin). Please stop the home cough syrup, examine the baby urgently, and admit for proper treatment rather than sending her home.",text__sahara-claude-opus-4-8
583bdd4f-0b3b-415b-89cc-4e24c55c6bb5,6cc16740-ef5f-4ccb-9b54-2a05f9a40f74,"Adeolu is a 10-year-old child whose mother was my sister. However, for a few days now, I have noticed that this child sits alone ever since his mother died. He does not want to play with anyone and he does not want to talk to anyone. He has also started refusing to eat and it looks like he's thinking too much and his heart broken. This frightened me so I decided to take him to the hospital. When I got to the hospital, I asked the doctor, could this child's condition be due to the grief of his mother's death and what can I do to help at home? Or does this child need to speak to a mental health professional or what can I do to make him eat or play with his peers? Or does he need any medication to help?",709,"Yes, Adeolu's withdrawal, refusal to eat, and sadness are most likely a grief reaction to losing his mother, which is a normal and expected response in a bereaved child. At home, you can help by giving him gentle, patient attention, allowing him to talk about his mother when ready, maintaining regular routines, encouraging small meals of his favourite foods, and reassuring him that he is loved and safe. Most grieving children recover with this family support and do not need medication. However, if after 2 weeks he remains severely withdrawn, refuses food, talks about wanting to die, or shows worsening symptoms, he should see a mental health professional as this may indicate depression or complicated grief. Involving trusted relatives, his school, and community or religious support can also greatly help his recovery.",text__sahara-claude-opus-4-8
a330674b-1cce-4ebd-b148-0214be33a856,383888b7-2c4d-4b85-8bfb-3421f72eeadc,"A mother living in our neighborhood was pregnant with her second child. At the beginning of the pregnancy, everything was going normally and she was happy that a new baby was coming. However, a few months ago, she began to experience severe lower abdominal pain. One day, the pain became so intense that she could hardly stand up properly. Such Shortly afterward, she also started having heavy vaginal bleeding. The bleeding was more than usual, and it made her very weak. When she saw the bleeding, she became frightened that her unborn baby might be in danger. Her husband quickly assisted her to go to the hospital. My question is, what can cause severe lower abdominal pain during pregnancy? Is heavy bleeding during pregnancy a danger sign for the mother? Or the unborn baby? What are the signs that indicate pregnancy may be in trouble? Is there any medication that can stop the pain and bleeding without harming the unborn baby?",935,"## Causes of Severe Lower Abdominal Pain in Pregnancy

Several serious conditions can cause severe lower abdominal pain with bleeding:
- **Placental abruption** (placenta separating early) — classically painful with bleeding and a tense, hard uterus
- **Ectopic pregnancy** (early in pregnancy) — a medical emergency
- **Miscarriage/threatened abortion**
- **Preterm labour** or **uterine rupture** (especially if she had a previous caesarean section)
- Non-pregnancy causes like urinary infection, appendicitis, or fibroid degeneration

## Is Heavy Bleeding Dangerous?

**Yes — for BOTH mother and baby.** Heavy vaginal bleeding in pregnancy is always an emergency. The mother can go into shock from blood loss, and the baby can be deprived of oxygen and die, especially with placental abruption.

## Danger Signs That Pregnancy Is in Trouble

Watch for: heavy vaginal bleeding, severe or constant abdominal pain, a hard/tender abdomen, reduced or absent baby movements, gush of fluid, severe headache, blurred vision, fever, dizziness or fainting.

## Can Medication Safely Stop It?

**No — there is no home medicine that safely stops pain and bleeding in this situation.** She must go to hospital immediately, where doctors will assess the cause, check her blood count and blood pressure, do an ultrasound, and give treatment — which may include IV fluids, blood transfusion, or urgent delivery/surgery. **Never delay hospital care; this is a life-threatening emergency for both mother and baby.**",text__sahara-claude-opus-4-8
29a2c96b-9835-400d-acf7-a3e335d5002e,c24d9a22-2976-4730-b153-2b242b1d096f,"A guardian of a child observes that the child is coughing intensely, to the extent that the child is being abrupt and struggling to breathe well. What can cause a child to be coughing in abrupt manner? To the extent that the child cannot breathe well and struggling to breathe. What kind of tests can we run for that child? What treatment can we give? And then what advice can we give to the guardian of this child?",415,"# Causes of Sudden, Severe Coughing with Breathing Difficulty in a Child

**Possible Causes:**
The most urgent cause is **foreign body aspiration** (child inhaling an object like a peanut, bead, or small toy), which is very common in children under 5 and presents with sudden violent coughing, choking, and difficulty breathing. Other causes include **severe asthma attack**, **pneumonia**, **bronchiolitis**, **croup** (barking cough with stridor), and **whooping cough (pertussis)**.

**Tests to Run:**
Start with a thorough history and physical examination (listen for wheeze, stridor, or reduced air entry on one side). Useful investigations include **chest X-ray** (to detect foreign body, pneumonia, or hyperinflation), **pulse oximetry** to check oxygen levels, and full blood count. If foreign body is suspected and confirmed, **bronchoscopy** is needed for removal.

**Treatment:**
For confirmed choking, perform **back blows and chest thrusts** (or Heimlich in older children) immediately. Give **oxygen** if the child is short of breath, **nebulized salbutamol** for asthma/wheeze, **antibiotics** for pneumonia, and refer urgently for **bronchoscopy** if a foreign body is lodged.

**Advice to the Guardian:**
Keep small objects, nuts, seeds, and toys out of the child's reach, and avoid giving hard foods to young children. Seek medical care immediately if the child struggles to breathe, turns blue, or becomes drowsy, as this is an emergency.",text__sahara-claude-opus-4-8
1ca84822-c7ea-4bee-9736-4cd89a8f0bf2,deb5d857-a070-45c0-befc-c05e82418b64,"I brought my 9-year-old child to the hospital this afternoon. I sent the child on an errand to buy something from me in town, but a dog beat the child. When they brought the child home and explained what happened, I examined the wound where the dog beat the child, and I noticed that the wound is red and already swollen. We made inquiries in the neighborhood to find out about the dog that beat the child, and the dog's owner said they are I have never given the dog any vaccines. They mentioned that he just goes out, plays and comes back inside. They said they have never given the dog any medical treatment whatsoever. This is why I became frightened and I rushed the child to the hospital so that it would not turn out that the dog that beat the child is a raby dog. What could possibly happen to a child who has been bitten by a dog? What could happen to a wound that is red and swollen? Is it possible for an infection like rabies to enter this wound? Is it possible for something terrible to happen to the child as a result of this dog bite? Please, what can I do to prevent an infection from entering this wound? What vaccines and what medications can be used to treat this child to ensure they receive proper care? What else can we do, or what medical tests can we run, to take care of the wound? Where the dog beats the child,",1337,"You did the right thing by bringing your child to the hospital quickly. Since the dog is unvaccinated and roams freely, we must treat this as a possible rabies exposure, because rabies is almost always fatal once symptoms appear—but it is completely preventable if we act now.

**What we will do:**
- **Wash the wound thoroughly** with soap and running water for at least 15 minutes—this alone greatly reduces the rabies virus.
- **Rabies post-exposure prophylaxis (PEP):** Your child will receive the **rabies vaccine** in a series of doses (usually on days 0, 3, 7, and 14/28). Because the wound is on the skin and the dog's status is unknown, we will also give **Rabies Immunoglobulin (RIG)** injected around the wound if available, especially for deep or multiple bites.
- **Tetanus:** We will check your child's tetanus vaccination history and give a **tetanus vaccine (and possibly tetanus immunoglobulin)** since dog bites carry tetanus risk.
- **Bacterial infection:** The redness and swelling show the wound is getting infected, so we will start **antibiotics** (commonly amoxicillin-clavulanate/Augmentin), clean the wound, and generally avoid tightly stitching bite wounds to prevent trapping infection.

**Important:** If possible, ask the dog's owner to **observe the dog for 10 days**—if the dog stays healthy and alive, the risk of rabies is very low. But do not delay your child's vaccine while waiting. Watch for fever, spreading redness, or pus, and return immediately if these occur.",text__sahara-claude-opus-4-8
2d3577d4-0796-481d-b7cd-df6912cbf4df,b4129300-516c-4e8c-b210-8a7a68eb2c40,"After I gave bath and I was trying to recover, one evening I thought that since we do not have clean water in our area, if I wanted to bath I would always use water that is not clean all the time. I kept thinking that I should take care of myself and be bathing properly. Then when it became one evening, my body was no longer well. I started feeling cold and my body began to shiver every day. I was feeling cold, but my body was not well again. I noticed that the blood that was coming out after childbirth had a smell coming from there that was not good at all. The smell was much, and this had not happened before. I could not take my eyes away from it. As I got up, that was when I was coming to the hospital to ask whether the clean water that I used to bath could cause any illness after childbirth. ",807,"Based on your symptoms, the unclean water you used for bathing is likely NOT the main cause of your illness. What you are describing—fever, shivering/chills, and foul-smelling vaginal discharge (lochia) after childbirth—are classic signs of **puerperal sepsis**, an infection of the womb or birth canal that commonly occurs when bacteria enter during or after delivery. This is a serious and potentially life-threatening condition that needs urgent treatment. You did the right thing by coming to the hospital; you need immediate examination, and will likely require antibiotics (often given through a drip) and possibly other treatments to clear the infection. Please do not delay—untreated puerperal sepsis can spread quickly and become very dangerous, so you must be seen and started on treatment today.",text__sahara-claude-opus-4-8
