doc_id,sentence_id,text,n_chars,prediction,source
2d74e2ea-1975-49fe-a396-a2dbb606fc2b,8db0feef-c321-4371-8d38-e4f3d4f501a7,waddi bingel amma duɓi je naya nyautarde hande nyau mali ɓingel on siro soja naya goɗɗo amma bo saun ngati maddi cugale on wuro ɓe hitti mora puti fu tare to bo saru ɗon ngati cugale on mi tari fu tare noni bo ɗuti mi waɗi dabo findiraɓe mo andi bo saro gonati ɓingel on jonbo saru ɗo. Ɓe meɗa hokkugo ɓosaru on je ɓe wi ɗum yaha yasi ɗum fija ɗum wartetan ɓe wi ɓe meɗa hokkugo bol saru ɗum ni kesum kanjum waɗi mi holi sei mi yaha waɗugo ɓingel on nyotode ngam to bo saru ɗon ngati cukare on no wawi no wodi nyobo saru ɗum ɓe heɓata ɓingel ko bo saru ngatiko ɗume wawan. bana nyausaru wawi nasta nder futere ko wawi wadugo bingel on sappunga bosaru on kodume mi waye wadugo gam to nyau nata futere on nanda he lekki ha hokka bingel on gam heba jamu ko dumai goddum mi wawi wadugo wala ko lekki mi wawi waɗan gof. to sare do ngati bingel on.,842,"The primary danger from an unvaccinated, free-roaming dog bite is the transmission of rabies, a fatal viral disease spread through the dog's saliva, alongside high risks of tetanus and bacterial skin infections. You did exactly the right thing by washing the wound at home, as scrubbing with soap and running water for at least 15 minutes is the critical first medical step to destroy the rabies virus. To protect the child's life, we must immediately start Rabies Post-Exposure Prophylaxis (PEP), which involves giving a series of rabies vaccines and, depending on the wound's depth, Rabies Immunoglobulin (RIG) directly into the bite site. Additionally, I will administer a tetanus booster shot and prescribe a broad-spectrum oral antibiotic, such as amoxicillin-clavulanate, to prevent secondary bacterial infections. It is absolutely crucial that you do not apply any traditional herbs to the wound and that you bring the child back for every single scheduled dose of the rabies vaccine, as this is the only way to guarantee they do not develop the disease.",text__sahara-gemini-3.1-pro-preview
ed72b813-04a2-482b-b3cb-305be48110dd,98ee57f7-3ef6-4825-8dfe-2f825275efbc,Debbo je joɗata ha sare amin o ɗo huwa ɗo waɗa kugal oɗo waɗa kugal mako boɗɗum bo o wala nyau yende fere wakkati o ɗo yiwa en mako ɗo mari hunde petel satinga hala. O laari o nanyi ɗum fahin fahin ɗo wakkati o dillai wakkati ɗo dilla o fuɗɗi nuɗɗi damuwa be mai sosai o fuddi on ha en. Nau amma babal mai ɗo safiti bo sare je mari ɗum ha endiije sali sati je sali o yidi o yahi larugo. Oki o yiɗi o anda ɗume on dasi ɗum de onta hala mai emdi jemma e ji mako mai on dasata hunde mai ha en debbo ko ɗume on je sati. Nda ha en ɗi nasa on debbo lora ta lara fahin ha en ɗi mai.,575,"A painless, hard lump in a woman's breast could be a benign condition like a fibroadenoma or a cyst, but it is also a primary warning sign of breast cancer. These hard masses develop due to abnormal cell growth, genetic factors, or hormonal changes affecting the breast tissue. In our local clinical practice, any persistent, hard breast lump that does not go away must be treated as suspicious and requires urgent investigation to rule out malignancy. I strongly advise her to visit the hospital immediately for a clinical breast examination, an ultrasound or mammogram, and a possible tissue biopsy to determine the exact cause. Seeking early medical evaluation is highly crucial, as early detection of breast cancer significantly improves treatment success and survival rates.",text__sahara-gemini-3.1-pro-preview
61687dc7-de0c-42ca-be4a-fadcbcf06472,2a528297-991f-4766-aed9-740be2530bc6,Debbo rediyo mo duɓi sappan me tati mo woodi redu leddi je ɗiɗi keddu e mako en galju mako ɗuɗɗi wodi yeso mako woya gauna ɗum wodi sembe mako sara’en mako bibbe sara en mako. Tawa daada ko ɓingel arande nyauto nyamde ɗiɗaɓre hani waɗugo ɓe lau ha debbo redujo on nyamrita tare ɗume hani pat o hefta nyau ɗum yamre nayare irin lekki kiya hani nyau dami o waɗata. ɗum daye hani o hutira.,386,"Based on the symptoms of frequent vomiting, dizziness, and severe weakness in a 30-year-old woman at two months of gestation, she is likely suffering from Hyperemesis Gravidarum leading to severe dehydration. The most urgent intervention is prompt intravenous (IV) fluid resuscitation using Normal Saline or Ringer's Lactate to restore her hydration and correct electrolyte imbalances, which is standard practice in our community hospitals. To stop the vomiting, she should be treated with pregnancy-safe antiemetic medications such as Promethazine or Metoclopramide, supplemented with Vitamin B6 (Pyridoxine). These medications should initially be administered via injection while she cannot keep food down, and later transitioned to oral tablets to be taken daily before meals once she improves. Finally, after stabilization, she must be advised to eat small, frequent, dry meals and ensure consistent fluid intake to protect her health and support the developing baby.",text__sahara-gemini-3.1-pro-preview
77dc6882-e75f-4291-866c-23fe43998cc9,7fa02a5e-7fbf-4035-ac4a-a0a5ce774686,Jam ɓandu likita waddi bingal amin larin no o fofata ɗon woni bana sautu hendu ɗo sala babal petel ni ɗon bo bana goɗɗo ɗon fufa hunde bo dake o fofata milliti bo balɗe tati jotta o ɗo ɗotta be jamma wakkati fere mi ɗo lara ɓe ɗo nasta sosai. Ɗo sosai bana sauto naftiri sembe mako seto o naftira sembe mako o hokkata mi lari bo o wala nyama banani to o nyamai fu sauto nyamai fu sau to o nangi pofɗe mako seto nangi fofɗe mako irin banni mai ɗon hokka tame oɗo kasa nyamugo boɗɗum balɗe tati. Mi arti mi yari mo kemis petel ha fattude amin be hokki mo lekki dojugo gam o dodda sedda sedda amma dojugo mai hallai amma pat lekkiji o yari wala ko nafi mofugo mako bannin kuma har jotta o wawata nyamugo boddum irin damuwa damata bingel am be fofugo mako do bana hendu do sala babal pitu ni o. To handini hotina heɓa famta ko damata mo be kwali ɓerde mako ɗo faɗa jippa ɗum irin nyaundi mi hokkata ɓingel ɗo ha sare hoinina mo heɓa o fofa boɗɗum ɗon irin lekkiji fere sibiti na ko hundeji tan fere mataki je hosata hado ɓingel ɗo.,1027,"Your child is exhibiting critical danger signs of a severe lower respiratory condition, likely severe pneumonia or an acute asthma attack, as indicated by the wheezing, deep chest indrawing, and inability to feed. Over-the-counter cough syrups from local chemists are completely ineffective for this level of respiratory distress because they do not open severely narrowed airways or treat deep lung infections. Do not attempt any further home treatments; this is a medical emergency requiring you to rush the child to a proper hospital immediately. In the hospital setting, we will urgently administer life-saving oxygen, nebulized bronchodilators to open his airways, and intravenous medications such as antibiotics or steroids depending on the exact diagnosis. While transporting him to the hospital, keep the child in an upright, seated position to make breathing slightly easier and do not force him to eat or drink, as he could easily choke.",text__sahara-gemini-3.1-pro-preview
53a63cb8-b4bf-437e-81f1-de8e5d5fd0a2,6ff10d73-cf82-4a14-ad40-eeb16b48ee3c,Goɗɗo ɓe nodeta suberu duɓi mako sappan ɗe joyi nyande mum fere o fuddi nyouru arande bo yori ɗum nyadai amma de ɗum fabi asawai je sedda tan yarugo lebbi be hakkilo ɗum yahi ɗum hallobi sedda sai ɗum salda rimopde ɗum gonga on o habdi bauɗe ko o wawata inde ko nyauru ɗon satai amma. Pat manju ɗum wadai da ha nu o nyaɗita yonru de o hilliti dow o yaha o soda lekki dikka o yaha nyaudo o yawto o yokki nyaurde o hecci ɓe ɗo jalibi tati ko sali o lori fahin o hecci ɓe o hafti ko o wawata waɗugo bana ko himɓe shawari mo ko larani jumri ndiyam fowuɗam goro jum. Ɗo heɓe lekki ɗuɗi ka ko o suɗi da ha nuno o nyaɗita sei nyouru wari tullitti ɗum yottike wakkati fere fu mahe salda roɗi sei o nyami nyautawo on ko waɗi nyoru ɗum neɓuri bana ni salo yamɗetugo o yidi o anda ko waɗi dabare be leɗɗe ɗe o fuɗi fu nafi. oyam ɗume o wannata yoru ɗon yamɗita ɗo fu maru gam o heɓa o fufa no hani olollita jamu bandu makko.,913,"A chronic, worsening dry cough lasting over three months accompanied by shortness of breath in a 50-year-old man strongly suggests Pulmonary Tuberculosis (TB), a highly endemic disease in our setting. Traditional remedies like honey, warm water, and kola nut only soothe the throat but cannot kill the underlying bacteria, which explains why his condition is deteriorating and affecting his ability to breathe. He must urgently visit a hospital to provide a sputum sample for a GeneXpert test and get a chest X-ray for an accurate diagnosis. If TB is confirmed, he will receive a free, highly effective six-month course of targeted antibiotics, which is the only proven way to clear the infection and restore his lung function. He must stop relying on unverified herbal medicines immediately, as further delay could lead to irreversible lung damage or spread the potentially fatal infection to his family.",text__sahara-gemini-3.1-pro-preview
d7e753fc-1afe-4a4f-9aa5-38ed678f3bdb,798b5106-bad5-4d3a-85ea-4fd316e84906,Dada debbo je danyi neɓai wari sibiti o vi tun ɓingal mako dayi odo ta rufa iyam sosai kanjum wadi o wala sembe ha bandu mako denbo mo danyi mai dubi mako nogas e nai o vi bo rufugo iyam mai dudi masin danta bo wata mo o wala sembe dada mai kasi nyamugo be kuma kasi wadugo kodum. Yonde amjum ɗum waddata debbo ninga rufugo iyam ɗo ɓawo dayi balɗe seɗɗa sali ɗum nyaundiku toi ɓe hokkata dada mai je rufugo iyam mai darata denbo o lorna sembe mako shawara hokkata dada mai be ɓingel mako. ,489,"The 24-year-old mother is experiencing secondary postpartum hemorrhage, which in our community setting is typically caused by retained placental fragments or a uterine infection, leading to her severe anemia and extreme weakness. To immediately stop the bleeding, she requires intravenous fluids, uterotonic medications like oxytocin or misoprostol to contract the uterus, and potentially a manual vacuum aspiration (MVA) along with broad-spectrum antibiotics to clear any tissue remnants or infection. To regain her strength, she urgently needs a clinical assessment for a potential blood transfusion, followed by routine iron and folic acid supplementation combined with a locally available iron-rich diet like dark leafy greens and beans. I highly advise her to continue exclusive breastfeeding, as the baby's suckling releases natural maternal hormones that cause uterine contractions, further helping to stop the bleeding while properly nourishing the infant. Both mother and baby must remain admitted in the hospital under close clinical observation until her blood count stabilizes and she regains her appetite and vitality.",text__sahara-gemini-3.1-pro-preview
0c71b5cb-dae8-44ae-b736-bb2c582a4e97,ceaf10d8-fa7a-4df9-80bf-e0743041838f,Dottijo gorko warini amin sibiti goɗɗo vi o ɗo nana hore mako ɗo nawa daande mako ɗo tiɗi be kuma fofe peppetel vurtini mo ha ɓandu o wari ammugo ɗume on waddata irin ɗo be kuma irin dawatoi hokkata mo min emi goɗɗo mai ko nawugo hore mai jotta warini mo na ko sedda sedda warin. Dottijo mai vi warini mo jamma den bo halli jotta min emi mo bo o do lara hite na o vi a gam hite o tull mo nawol hore min nemi mo fu hala fufe ha bandu mako ko do nawa sosai ko sedda sedda dottijo mai vi fu finimo patdu be kuma o wawata viwugo da pellel. vilel gotel amma ɗo nyamo ɓawo kanjum min emi mo ko o fotti be nyaudo o vi wala ha o yahi banda sorugo hunde ha yeso sare maɓɓe damde amin ha likita kanju don ko waddata nawol hore be dande tiddata dum haru o wala wailita dande be fufe ko hatoi ha bandu mako dume waddata dum nyau je rabata on. hundeji fere am je didabo irin goji toi goddo do wadata en anda ta lalle ko hebi mo heba anda dawa be lekki toi o naftirta bako jaborugo vurtan.,975,"Based on the acute onset of severe headache, neck stiffness, photophobia, and a generalized rash, this patient is highly likely suffering from meningococcal meningitis, a dangerous bacterial infection common in the African meningitis belt. This disease is highly contagious and spreads rapidly through respiratory droplets, requiring the immediate isolation of the patient to prevent a local outbreak. To confirm the diagnosis, you must urgently perform a lumbar puncture for cerebrospinal fluid (CSF) analysis, alongside a full blood count and blood cultures. However, because bacterial meningitis is a rapidly fatal medical emergency, you must not delay treatment while waiting for these laboratory results. Immediately administer empiric intravenous antibiotics, such as high-dose Ceftriaxone, along with intravenous fluids and analgesics as life-saving first-line management.",text__sahara-gemini-3.1-pro-preview
1cac3a3f-9a74-4667-8cde-20d64f95ca37,14e256b0-1035-474e-8535-57803cab4e54,Debbo lari gorko mako debbo lari gorko mako doja be sembe to ummi be fajira be yeso maini dojugo nonni fuɗɗata o neɓani bako dara balɗeji o waɗani o lari gorko mako o yara bane fofugo to o yaɓi seddani ko o fa’al o do dara lorna fofɗe mako denbo o ɗo yawa sam be lau. Ɗon yende gorko mako neɓi o ɗo dodda be o do habda lorna fofɗe dami debbo mai o fuddi numugo ko don yahugo je waddata damuwaji dogo mai sai o volwwini gorko mako do yaha asibiti be lara likita heba be hefta ko damata mo jamde mai dume on waddata dudugo kalnudi bannin be yawugo somungo be fofugo dater do damuwa do wawan ko shafi. ko yahugo chafi berde hundeji toi ɗon waɗata goɗɗo maya ko yarna goɗɗo vonugo har je goɗɗo mai handi ni dasa hakkilo alamaji je damuwaji fofugo je darde handi lara hakkilina je dottugo be fofugo dateɗum.,802,"The symptoms of a severe morning cough, rapid fatigue, and shortness of breath after minimal exertion strongly suggest Heart Failure, Chronic Obstructive Pulmonary Disease (COPD), or potentially Tuberculosis, which is highly prevalent in our region. Heart failure occurs when a weakened heart cannot pump effectively, causing fluid to accumulate in the lungs; this explains the persistent coughing and severe breathlessness, and it can indeed be fatal if left unmanaged. Similarly, chronic lung diseases damage the airways, drastically reducing oxygen supply to the body and causing rapid physical exhaustion. Danger signs requiring immediate emergency medical care include severe gasping for air while at rest, chest pain, bluish lips, or an inability to speak in full sentences. He must urgently visit the hospital for a proper clinical examination, chest X-ray, and ECG so that doctors can diagnose the exact cause and start life-saving treatment before irreversible organ damage occurs.",text__sahara-gemini-3.1-pro-preview
eead0ddd-1dfe-4ab0-991d-095ac322bccf,e56ed16c-b8f2-4bf6-a64a-31c145f3fe5d,Jam bandu mi wari gammini ko amin giteji be balli mako do wadi yalo ni kuma banni mai ni har kusan balɗe tati ɓandu maɓɓe bo do wuri o dolla be zazzabi bo kuma ɓe wawata nyamugo ɓe wawata jogugo ko ha redu bo ɓe ɗo diuna ɓe ɗo somi wala. ngam hore maɓɓe do rekka do nawa be bandu maɓɓe do buli min wodi nafturgo hundeji min mari hasare amma wala ko chanji sam be damata be giteji mabbe be balli maɓɓe je chanji kolo jalodum ha jotta dillai do bedda ɓeddugo tan kullum be wala darta. Ɓe ɗo yara bone kanjum waɗi Allah haɗɗo ɓe ɗo nana bone sosai kanjum waɗi min wari sibiti heɓa min anda ko mintaakata heɓa ɓandu min gite je waɗata jalo ɗo ha chan be hoinai.,657,"The symptoms of yellow eyes and skin (jaundice), high fever, severe headache, continuous vomiting, and extreme weakness strongly suggest a life-threatening infection such as Severe Malaria, Yellow Fever, or Acute Viral Hepatitis. In our local setting, severe falciparum malaria frequently causes the rapid breakdown of red blood cells and acute liver strain, leading to this sudden onset of jaundice, chills, and fever. The patient requires immediate hospital admission and urgent laboratory tests, including a malaria rapid diagnostic test, full blood count, and liver function tests to confirm the exact diagnosis. It is critical to stop all traditional remedies immediately, as they can worsen the condition by causing further liver or kidney toxicity. Treatment will begin urgently with intravenous medications, such as IV Artesunate if it is malaria, alongside aggressive fluid replacement and symptom management to stabilize the patient.",text__sahara-gemini-3.1-pro-preview
24394b13-2ade-4730-89fc-1aa86c1b2d7d,54d97066-aaf6-453b-93b7-5874f6b2bdb1,Ɓingel waɗi redu mako woɗa soina kanko mai wodi redu ko feiti hande bo jima misi oɗo wodi naudum o arti o mofti kare mako o wari wuro an ɗum ɓe yiɗi inde mi lari nako darayi mofti kare mako arinde kam o yiɗa mi yarama nyamdurde mi yarima nyauɗo ɓe lari mo ɓe wi’i rimirde mako fuɗɗi no maɓɓi to den wakkati o dan maɓɓi. Dan wakkati odyota badi ha jotta koni mako ha wakkati konju kala on wurtoi to ingaya kam on no nana naudum naudum dobe jodata jodi naudum mako wurtai ridi mako arande on hakila am ummi be ta Miɗi mi yida binge on mi yiɗa mi soya binge ame warta dou sa'i ni foɗata nau ɗum on danyoda arande wa’ina noɗata ɓe wi'a binge ko tay vurta hite alura ko ɗon saika mo.,678,"Based on the symptoms described, the pregnant patient is experiencing severe abdominal pains but her cervix remains closed, indicating either the early latent phase of labor, false labor, or a severe obstetric complication like placental abruption. Prolonged pain without cervical dilation places both the mother and the unborn baby at high risk for distress, fetal hypoxia, and maternal exhaustion. The local clinic's recommendation to administer intravenous medications (a drip to induce labor) or perform a surgical delivery is a standard, evidence-based clinical practice to manage non-progressing labor safely. In our community hospitals, these prompt medical interventions are critical, life-saving measures used to prevent maternal and neonatal mortality. I strongly advise you to urgently consent to the healthcare team's proposed treatment to ensure a safe delivery and protect the lives of both your daughter and the baby.",text__sahara-gemini-3.1-pro-preview
