Language,gemini-3-flash-preview,gemma4,gpt-4o-audio-preview,qwen3-livetranslate-flash
afrikaans,0.6259253034960818,0.46265524642711336,0.5247354598885233,
akan,0.3492344700454298,0.04159903842248494,0.22191681521885756,
amharic,0.5442519363799048,0.059044650311327794,0.2135415590664541,
arabic,0.6694244715977798,0.6095050260085951,0.6161358905786818,
french,0.6687085162848234,0.4991638765093826,0.6158279469680219,0.677874497537102
hausa,0.5101188453528184,0.1177840333728289,0.1919556988106871,
igbo,0.225407005044293,-0.0006768837952139703,0.20209085403687574,
kinyarwanda,0.5032849611407569,0.06834079710692591,0.24037363661283798,
pedi,0.315237956257029,0.05867773224176331,0.2480197191915729,
sesotho,0.3708554484966126,0.022168609155976977,0.24941451184197583,
shona,0.5307387442105789,0.13821786276636305,0.30462732608853416,
swahili,0.6507298984310844,0.4718202339400622,0.5451879072426395,
tswana,0.3325121824388837,0.03762227566436526,0.2715234249703247,
xhosa,0.5249765708957883,0.1086206313286146,0.23461877013350288,
yoruba,0.44588297993918374,0.04000276826449077,0.20214733357213183,
zulu,0.589781784192151,0.21660656111251395,0.29261519808999514,
