Language,gemma4,qwen3,azure,gemini-3-flash-preview,omniCTC,gpt4o,sahara,omnillm,medasr
afrikaans,0.26258992805755393,0.48776978417266187,0.1579136690647482,0.1723021582733813,0.16223021582733813,0.23525179856115108,0.21654676258992805,0.1446043165467626,
akan,0.9116067740603057,0.9491945477075588,,0.6232961586121437,0.5216852540272615,0.7707558859975217,0.5386204047914085,0.47666253614209003,
amharic,0.8651053864168619,1.1138173302107728,0.4159250585480094,0.35737704918032787,0.405152224824356,0.853864168618267,0.3255269320843091,0.37096018735362996,
arabic,0.2676565008025682,0.16332263242375603,0.2050561797752809,0.14446227929373998,0.21990369181380418,0.16211878009630817,0.29414125200642055,0.18860353130016053,
english,0.7697167445883654,0.5907085217505557,0.23919589186585058,0.2699959488016117,0.41967130547130765,0.34750522823575786,0.23096210487129235,0.34794319562908543,0.6525495176884081
french,0.17346182357301704,0.06745737583395107,0.061527057079318014,0.05485544848035582,0.15270570793180133,0.14825796886582654,0.12157153446997776,0.11638250555967383,
hausa,0.4601313320825516,0.949343339587242,,0.3236397748592871,0.24108818011257035,0.6477485928705441,0.16416510318949343,0.21153846153846154,
igbo,0.8334580838323353,0.9461077844311377,,0.5830838323353293,0.3559131736526946,0.7732035928143712,0.22230538922155688,0.2282934131736527,
kinyarwanda,0.716336825766395,1.0003880481179666,,0.42607683352735737,0.37485448195576254,0.8389600310438494,0.2576639503298409,0.3116026387272022,
pedi,0.7503720238095238,0.9981398809523809,,0.5461309523809523,0.4568452380952381,0.8173363095238095,0.40141369047619047,0.40811011904761907,
sesotho,0.7120799273387829,0.9860732667272177,,0.4841053587647593,0.5219497426581895,0.766273085074175,0.2867090523766273,0.4992431123221314,
shona,0.5696551724137932,1.0354022988505747,,0.35724137931034483,0.2864367816091954,0.5958620689655172,0.23632183908045978,0.26252873563218393,
swahili,0.20385288966725043,0.37197898423817866,0.1169877408056042,0.30367775831873906,0.14430823117338004,0.18248686514886164,0.06760070052539405,0.1190893169877408,
tswana,0.5891059798697454,1.4650680876258142,,0.41622261693309653,0.22143280047365305,0.7865600947306098,0.17199526346950858,0.2024866785079929,
xhosa,0.6339193381592554,1.1535677352637022,,0.3671147880041365,0.30248190279214066,0.7057911065149949,0.24250258531540847,0.2404343329886246,
yoruba,0.6367243867243867,0.9246031746031746,,0.3528138528138528,0.2950937950937951,0.6295093795093795,0.20454545454545456,0.22294372294372294,
zulu,0.4639227642276423,1.2291666666666667,0.2896341463414634,0.28810975609756095,0.2423780487804878,0.6753048780487805,0.1722560975609756,0.19766260162601626,
